Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,Tstep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2MCALL,146.52,,0,,88.5,88.5,023,NN,FM,5,,,,,,
1,KF7HVM,147.56,,0,,88.5,88.5,023,NN,FM,5,,,,,,
2,W7DG L,147.26,+,0.6 ,Tone,114.8,114.8,023,NN,FM,5,,,,,,
3,N7EI,146.88,-,0.6 ,TSQL,114.8,114.8,023,NN,FM,5,,,,,,
4,W7DG W,147.3,+,0.6 ,Tone,114.8,114.8,023,NN,FM,5,,,,,,
5,N7EI 3,146.68,-,0.6 ,TSQL,114.8,114.8,023,NN,FM,5,,,,,,
6,W7VER,145.25,-,0.6 ,Tone,114.8,114.8,023,NN,FM,5,,,,,,
7,W7BU N,146.76,-,0.6 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
8,WA7UHD,147.06,+,0.6 ,TSQL,110.9,110.9,023,NN,FM,5,,,,,,
9,K7KFM,146.74,-,0.6 ,Tone,110.9,110.9,023,NN,FM,5,,,,,,
10,NM7R 3,147.02,+,0.6 ,TSQL,118.8,118.8,023,NN,FM,5,,,,,,
11,K7RPTW,146.72,-,0.6 ,TSQL,114.8,114.8,023,NN,FM,5,,,,,,
12,W7OTV,146.96,-,0.6 ,TSQL,127.3,127.3,023,NN,FM,5,,,,,,
13,KJ7IYT,145.27,-,0.6 ,TSQL,107.2,107.2,023,NN,FM,5,,,,,,
20,SM6415,146.415,,0,,88.5,88.5,023,NN,FM,5,,,,,,
21,SM 760,147.6,,0,,88.5,88.5,023,NN,FM,5,,,,,,
22,SM 758,147.58,,0,,88.5,88.5,023,NN,FM,5,,,,,,
23,SM 755,147.55,,0,,88.5,88.5,023,NN,FM,5,,,,,,
24,SM 754,147.54,,0,,88.5,88.5,023,NN,FM,5,,,,,,
25,SM 752,147.52,,0,,88.5,88.5,023,NN,FM,5,,,,,,
26,SM 658,146.58,,0,,88.5,88.5,023,NN,FM,5,,,,,,
27,SM 656,146.56,,0,,88.5,88.5,023,NN,FM,5,,,,,,
28,SM 655,146.55,,0,,88.5,88.5,023,NN,FM,5,,,,,,
29,SM 654,146.54,,0,,88.5,88.5,023,NN,FM,5,,,,,,
30,70CALL,446,,0,,88.5,88.5,023,NN,FM,5,,,,,,
31,W7DGL4,444.9,+,5 ,Tone,114.8,114.8,023,NN,FM,5,,,,,,
32,N3EG,442.125,+,5 ,Tone,114.8,114.8,023,NN,FM,5,,,,,,
33,AB7F L,440.375,+,5 ,Tone,123.0,123.0,023,NN,FM,5,,,,,,
34,WB7DFV,442.825,+,5 ,Tone,131.8,131.8,023,NN,FM,5,,,,,,
35,KD7HTE,444.45,+,5 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
36,K7LJ W,444.475,+,5 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
37,N8VJP,440.575,+,5 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
38,N7EI 2,444.625,+,5 ,Tone,107.2,107.2,023,NN,FM,5,,,,,,
39,WA6TTR,444.5,+,5 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
40,K7ABL,444.925,+,5 ,Tone,94.8,94.8,023,NN,FM,5,,,,,,
41,KJ7IY7,441.825,+,5 ,TSQL,107.2,107.2,023,NN,FM,5,,,,,,
42,K7KFM2,443.45,+,5 ,Tone,110.9,110.9,023,NN,FM,5,,,,,,
43,SM 580,445.8,,0,,88.5,88.5,023,NN,FM,5,,,,,,
44,SM 582,445.825,,0,,88.5,88.5,023,NN,FM,5,,,,,,
45,SM 585,445.85,,0,,88.5,88.5,023,NN,FM,5,,,,,,
46,SM 587,445.875,,0,,88.5,88.5,023,NN,FM,5,,,,,,
47,SM 590,445.9,,0,,88.5,88.5,023,NN,FM,5,,,,,,
48,SM 597,445.975,,0,,88.5,88.5,023,NN,FM,5,,,,,,
49,SM 602,446.025,,0,,88.5,88.5,023,NN,FM,5,,,,,,
50,K7BPR1,147.08,+,0.6 ,Tone,107.2,107.2,023,NN,FM,5,,,,,,
51,W7LT 1,146.84,-,0.6 ,,88.5,88.5,023,NN,FM,5,,,,,,
52,KB7APU,145.25,-,0.6 ,TSQL,186.2,186.2,023,NN,FM,5,,,,,,
53,W7AIA,147.24,+,0.6 ,TSQL,94.8,94.8,023,NN,FM,5,,,,,,
54,AB7F V,145.37,-,0.6 ,Tone,123.0,123.0,023,NN,FM,5,,,,,,
55,KF7LN,147.1,+,0.6 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
56,WA7ROB,145.15,-,0.6 ,Tone,94.8,94.8,023,NN,FM,5,,,,,,
57,K7LJ,145.39,-,0.6 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
58,N7LF,145.41,-,0.6 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
59,KB7DRX,147.2,+,0.6 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
60,WA7SA8,147.08,+,0.6 ,Tone,123.0,123.0,023,NN,FM,5,,,,,,
61,N7EXH1,145.31,-,0.6 ,Tone,123.0,123.0,023,NN,FM,5,,,,,,
62,N7EXH2,146.98,-,0.6 ,DTCS,88.5,88.5,023,NN,FM,5,,,,,,
63,W7AC,147.14,+,0.6 ,Tone,107.2,107.2,023,NN,FM,5,,,,,,
64,K7RPT,147.04,+,0.6 ,TSQL,100.0,100.0,023,NN,FM,5,,,,,,
65,W7LT 2,146.94,-,0.6 ,,88.5,88.5,023,NN,FM,5,,,,,,
66,WB7QIW,147.28,+,0.6 ,Tone,167.9,167.9,023,NN,FM,5,,,,,,
67,W7LT 3,147.18,+,0.6 ,Tone,103.5,103.5,023,NN,FM,5,,,,,,
68,KE7AWR,146.7,-,0.6 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
69,K7RPT4,147.38,+,0.6 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
70,KB7DR2,147,+,0.6 ,Tone,100.0,100.0,023,NN,FM,5,,,,,,
71,KE7DC,145.45,-,0.6 ,Tone,136.5,136.5,023,NN,FM,5,,,,,,
72,KJ7IYC,146.8,-,0.6 ,Tone,107.2,107.2,023,NN,FM,5,,,,,,
73,K7HW,146.68,-,0.6 ,Tone,103.5,103.5,023,NN,FM,5,,,,,,
74,N7QQU,147.36,+,0.6 ,Tone,107.2,107.2,023,NN,FM,5,,,,,,
75,WA7ABU,145.29,-,0.6 ,,88.5,88.5,023,NN,FM,5,,,,,,
76,K7KFL,146.74,-,0.6 ,Tone,131.8,131.8,023,NN,FM,5,,,,,,
77,WW7CH,146.78,-,0.6 ,Tone,103.5,103.5,023,NN,FM,5,,,,,,
78,K7DNR,145.25,-,0.6 ,TSQL,186.2,186.2,023,NN,FM,5,,,,,,
79,WA7SA7,146.86,-,0.6 ,Tone,123.0,123.0,023,NN,FM,5,,,,,,
80,WB7DOB,145.41,-,0.6 ,Tone,162.2,162.2,023,NN,FM,5,,,,,,
81,W7EAT,146.7,-,0.6 ,Tone,103.5,103.5,023,NN,FM,5,,,,,,
82,KB7CNN,145.45,-,0.6 ,Tone,110.9,110.9,023,NN,FM,5,,,,,,
83,W7AQ,147.3,+,0.6 ,TSQL,123.0,123.0,023,NN,FM,5,,,,,,
84,WB7DO2,147.3,+,0.6 ,TSQL,88.5,88.5,023,NN,FM,5,,,,,,
85,W7AAO,145.37,-,0.6 ,Tone,136.5,136.5,023,NN,FM,5,,,,,,
86,W7CCY,146.94,-,0.6 ,TSQL,173.8,173.8,023,NN,FM,5,,,,,,
87,N3KPU,145.23,-,0.6 ,Tone,146.2,146.2,023,NN,FM,5,,,,,,
88,K7MMI,146.98,-,0.6 ,Tone,131.8,131.8,023,NN,FM,5,,,,,,
90,W7BU A,146.74,-,0.6 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
91,W7BU G,146.8,-,0.6 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
92,WA7PIX,147,+,0.6 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
93,W7BU W,146.66,-,0.6 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
94,W7BU M,145.45,-,0.6 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
95,NM7R 4,147.18,+,0.6 ,TSQL,82.5,82.5,023,NN,FM,5,,,,,,
96,KA7AHV,147.16,+,0.6 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
97,W7RDR,146.86,-,0.6 ,Tone,118.8,118.8,023,NN,FM,5,,,,,,
99,APRS R,144.39,,0,,88.5,88.5,023,NN,FM,5,S,,,,,
101,FRS1,462.5625,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
102,FRS2,462.5875,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
103,FRS3,462.6125,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
104,FRS4,462.6375,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
105,FRS5,462.6625,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
106,FRS6,462.6875,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
107,FRS7,462.7125,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
108,FRS8,467.5625,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
109,FRS9,467.5875,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
110,FRS10,467.6125,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
111,FRS11,467.6375,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
112,FRS12,467.6625,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
113,FRS13,467.6875,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
114,FRS14,467.7125,,0,,88.5,88.5,023,NN,NFM,5,,,,,,
115,GMRS1,462.55,,0,,88.5,88.5,023,NN,FM,5,,,,,,
116,GMRS2,462.575,,0,,88.5,88.5,023,NN,FM,5,,,,,,
117,GMRS3,462.6,,0,,88.5,88.5,023,NN,FM,5,,,,,,
118,GMRS4,462.625,,0,,88.5,88.5,023,NN,FM,5,,,,,,
119,GMRS5,462.65,,0,,88.5,88.5,023,NN,FM,5,,,,,,
120,GMRS6,462.675,,0,,88.5,88.5,023,NN,FM,5,,,,,,
121,GMRS7,462.7,,0,,88.5,88.5,023,NN,FM,5,,,,,,
122,GMRS8,462.725,,0,,88.5,88.5,023,NN,FM,5,,,,,,
123,GM136 1,462.55,,0,TSQL,136.5,136.5,023,NN,FM,5,,,,,,
124,GM136 2,462.575,,0,TSQL,136.5,136.5,023,NN,FM,5,,,,,,
125,GM136 3,462.6,,0,TSQL,136.5,136.5,023,NN,FM,5,,,,,,
126,GM136 4,462.625,,0,TSQL,136.5,136.5,023,NN,FM,5,,,,,,